cliente_id,nome,cidade 
75,Wallace Alexandre Drummond Guimarães,Borebi
76,Gael  Carvalho Reis,Cardeal da Silva
77,Eduarda Camila Ramos Correia,Planaltina do Paraná
78,Hélio Alexandre Zanetti ,Duque de Caxias
79,Kaique Elias Miranda Duarte,São Paulo
80,Esther Ornella Rocha ,Laguna
81,Queila Janaina Brandão ,Ubaí
82,Daniel  Peixoto ,Caririaçu
83,Daniela  Magalhães Rocha,Belo Horizonte
84,Dandara  Viana Ortega,Guapirama
85,Douglas  Ribeiro ,Matos Costa
86,Queila Natália Rezende Peixoto,Unaí
87,Wesliane Patrícia Castro ,Itatiaiuçu
88,Leandro  Lima ,Caiçara
89,Yara  Batista ,Brasília
90,Tainá  Brandão ,Maribondo
91,Emerson Leandro Ramalho Tavares,São Francisco do Conde
92,Neide Sara Reis Nunes,Lagoa do Mato
93,Valentina  Castro Espíndola,Guimarães
94,Cláudio  Gusmão ,Baixa Grande
95,Leonardo  Batista ,Rolante
96,Mateus Lucas Figueiredo Drummond,Tapiraí
97,Franciele Ulisses Ortega ,Tavares
98,Fernando  Klein ,Dom Feliciano
99,Cristian  Damasceno Drummond,Santo Estêvão
100,Felipe  Siqueira Azevedo,Urubici
101,Heloísa  Quintana ,Curitiba
102,Mateus  Klein Aguiar,Tapira
103,Ornella Maria Reis Cerqueira,Água Branca
104,Evelyn  Gonçalves Lopes,Barra de São Francisco
105,Cristiano  Esteves Rocha,Guaimbê
106,Alan Maria Franco Araújo,Nova Belém
107,Danilo Thiago Borges Correia,Nova União
108,Marcelo Oscar Miranda ,Chalé
109,Ricardo  Farias ,Porto Alegre
110,Wagner  Souza Toledo,Messias
111,Kleber  Ramos ,Ribeira do Amparo
112,Valter Orlando Rangel ,Martinópolis
113,Arthur Juliano Queiroz Domingues,Recreio
114,Roberto Oscar Xavier Rodrigues,Itatiba do Sul
115,Adriana  Noronha Andrade,Guaçuí
116,Luana  Moura ,Cachoeiras de Macacu
117,Brenda Samara Abreu ,Ichu
118,Eric Darlan Queiroz ,Nazaré da Mata
119,Rogério  Marques ,Alegrete do Piauí
120,Priscila Helena Paiva ,Corumbataí do Sul
121,Benício Silvio Loureiro ,Guará
122,Betina Thalita Nascimento ,Curitiba
123,Natália Sara Nunes ,Calçoene
124,Wesley  Drummond ,Tupãssi
125,Theo Zara Henriques ,Piripá
126,Zaid William Peixoto Pinto,Jacinto Machado
127,Elias Wagner Camargo ,Vale Verde
128,Moacir Pablo Assis ,Triunfo Potiguar
129,Eduardo  Loureiro ,Camocim
130,Catarina  Farias Almeida,Curitiba
131,Sebastião Heitor Henriques Coelho,Treviso
132,Maurício  Moura Ribeiro,João Câmara
133,Kaique André Santana ,Manaus
134,Aurora  Toledo ,Guaiçara
135,Rita  Lopes Monteiro,São João Nepomuceno
136,Bárbara  Nunes ,Giruá
137,Lorena Jonathan Gomes ,Riachuelo
138,Juliano  Toledo ,Aceguá
139,Lucas Washington Vieira ,Tucuruí
140,Luana Aliani Silva Rossi,Conceição do Almeida
141,Lavínia Amanda Figueiredo ,Muricilândia
142,Mônica Joana Lins Moura,São Domingos do Araguaia
143,Ian Otávio Cabral Rossi,Cianorte
144,Lucas  Neves Rezende,Curitiba
145,Lorena Giovana Macedo Chaves,Alto Bela Vista
146,Quirino  Ortega ,Barra do Rocha
147,Jefferson  Toledo ,Mariluz
148,Gael  Quaresma Pereira,São Roque
149,Antônio  Pimentel ,Nova Fátima
150,Pietra Betina Junqueira ,Glorinha
151,Felipe  Batista Souza,Rio Bananal
152,Yasmina  Gomes ,Nova América
153,Benício César Correia ,Antônio Cardoso
154,Eduarda Zaqueu Araújo Oliveira,Manaus
155,Vicente Rogério Melo Henriques,São Paulo
156,Carlos Ian Quaresma Gusmão,Guaraci
157,Cauã Antônio Franco ,Novo Horizonte do Norte
158,Karen Nicole Peixoto ,Balneário Camboriú
159,Alana  Gonçalves ,Perolândia
160,Darlan Israel Sampaio Nunes,Itariri
161,Orlando Valentin Klein Cunha,Piratininga
162,Roberto  Meireles Fontes,São João do Polêsine
163,Silvio  Cabral Gomes,Candelária
164,Juliano Douglas Souza Cunha,Porto Alegre
165,Vicente Joaquim Junqueira Leite,Angra dos Reis
166,Rodrigo Leonardo Nunes Rangel,Salto Grande
167,Nicolas Xavier Xavier ,Guajeru
168,Roberto Ueliton Lins Monteiro,Salvador
169,Ulisses Roberto Noronha Frota,Chapecó
170,Ueliton  Bittencourt ,Estrela de Alagoas
171,Rayssa  Guedes Peixoto,Pitanga
172,Zaqueu Dante Henriques ,Porto Alegre
173,Laís Karen Lopes Ferreira,Extrema
174,Orlando Eduardo Paiva Franco,Nova Aliança
175,Elias  Drummond Teixeira,Curuá
176,Bárbara  Moura Dantas,Carneirinho
177,Alan Bernardo Carvalho Ferreira,Florínia
178,Ulisses  Reis Cunha,Paraibano
179,Benício Fábio Chaves ,Caém
180,Rogério  Araújo ,Bom Retiro
181,Sérgio  Azevedo Machado,Ribeirão dos Índios
182,Afonso  Aguiar Haddad,Benjamin Constant do Sul
183,Bernardo Daniel Oliveira ,Mariano Moro
184,Giovanni Cristian Santos ,Goiabeira
185,Silvio Flávio Bezerra Ibiapina,Bom Retiro do Sul
186,Ulisses Manoel Martins ,Ribeirão do Sul
187,Débora Ximena Zanetti Brandão,Mombuca
188,Nicole  Gusmão Freitas,Querência
189,Rodrigo  Melo ,São Simão
190,Kauã  Abreu Batista,Santa Mônica
191,Pedro  Araújo Vieira,São José de Piranhas
192,Nádia  Cerqueira Klein,Jacarezinho
193,Bernardo  Melo ,Joviânia
194,Moacir  Lopes Cordeiro,Soure
195,Marcos Noel Vieira ,Jandaia
196,Benício Leonardo Esteves Farias,Garuva
197,Augusto  Campos Quintana,Perdizes
198,Aurora Camila Ramos Reis,Juti
199,Quirino Lucas Gomes Abreu,Indianópolis
200,Yuri Gabriel Bernardo Esteves ,Malhada
201,Caio Luan Damasceno Pereira,Riachão do Poço
202,Clara Isadora Costa Assis,Águas Mornas
203,Zilda Olívia Cavalcante Caldas,Lunardelli
204,Uilma Tainá Nascimento Drummond,Rio de Janeiro
205,Fernanda Emanuelle Ibiapina Sampaio,Indiaporã
206,Paulo  Brandão Pimentel,Curvelândia
207,Rafael Tadeu Nunes Moura,Jussiape
208,Edson Pablo Barros Navarro,Governador Valadares
209,Sérgio Kaique Macedo Espíndola,Fazenda Nova
210,Benício  Ramos Lins,Descanso
211,Renato  Pinto ,Porto Amazonas
212,Bernardo  Cordeiro Meireles,Santa Maria de Jetibá
213,Mirela Kelly Esteves ,Calçoene
214,Renato  Cabral ,Marques de Souza
215,Karen  Beltrão Frota,Itapajé
216,Leonardo  Rangel ,Bozano
217,Antônio  Carvalho Drummond,Palmeira dos Índios
218,Priscila Talita Souza ,Iraquara
219,Carla Nádia Cerqueira ,São Miguel da Boa Vista
220,Márcio Yuri Marques Assis,Angelândia
221,Darlan Bruno Cavalcante Gusmão,Felisburgo
222,William  Oliveira ,Bom Jesus do Tocantins
223,Juliana Elisa Santos ,Cristiano Otoni
224,Kleber  Cabral Caldas,Itapirapuã
225,Douglas  Pacheco ,Salvador
226,Nathan  Ramalho Navarro,Saboeiro
227,Elias Ricardo Duarte Dantas,Martins
228,Theo Luiz Frota ,Cacimba de Dentro
229,Betina  Marques Valente,Matias Barbosa
230,Adriano  Abreu Franco,Itarema
231,Maurício Jonathan Bezerra Lima,Santa Cruz
232,Lázaro  Dantas Melo,Padre Bernardo
233,Lucas João Abreu ,Marechal Cândido Rondon
234,Beatriz  Gomes Caldas,Muaná
235,Quirino  Brandão ,São Domingos
236,Cristian  Camargo Portela,Salmourão
237,Eloá Beatriz Xavier Lopes,Augusto Severo (Campo Grande)
238,Sérgio  Melo ,Coluna
239,Fábio  Vieira ,Oratórios
240,Bruna  Rezende Pereira,Clevelândia
241,Rian Cláudio Ibiapina ,Brasília
242,Lorena  Haddad Cardoso,Piedade de Caratinga
243,Mariana Paloma Moraes Andrade,Pantano Grande
244,Uilma  Valente Damasceno,Três Arroios
245,Wesley Afonso Domingues ,Campina Grande do Sul
246,Sérgio  Paiva ,Três Lagoas
247,Manuela Mariana Quaresma Lopes,Heitoraí
248,Gustavo  Zanetti ,Recife
249,Gabriel Juliano Assis ,Caxias
250,Ian Flávio Drummond ,Carmo
251,Bernardo  Assis ,Curitiba
252,Aurora Alana Meireles Pacheco,Cidade Ocidental
253,Samara  Sampaio ,Pirpirituba
254,Enzo  Lima ,Araruna
255,Emerson Fernando Bittencourt Gomes,Porto Alegre
256,Raul Gabriel Queiroz Nascimento,Curitiba
257,Kaique  Siqueira ,Benedito Leite
258,Ana Débora Rangel ,Itápolis
259,Betina Bárbara Lins ,Mauá
260,Daniel Cristian Damasceno ,Santa Rosa da Serra
261,Emerson  Klein Rocha,Rafard
262,Orlando  Macedo Lacerda,Francisco Ayres
263,Davi  Rossi ,Mineiros
264,Arthur Hélio Assis ,Brusque
265,Benício  Melo ,Vitória das Missões
266,Karen Lara Macedo Ferreira,Bertolínia
267,Gael  Santos ,Casa Branca
268,Lívia  Drummond Guedes,São Sepé
269,Emerson  Espíndola Carvalho,Muriaé
270,Catarina  Oliveira Marques,Timbaúba dos Batistas
271,Manuela  Barbosa ,Palmas de Monte Alto
272,Nathan Quirino Zanetti ,Jussara
273,Andressa Waleska Lopes ,Salvador
274,Douglas Rogério Marques Lins,Manoel Emídio
275,Paula Natália Lima Correia,Brasília
276,Antônio Luiz Navarro Lopes,Água Boa
277,William Caio Neves Vasconcelos,Itapirapuã
278,Nayara  Guimarães ,Água Azul do Norte
279,Igor Breno Navarro Junqueira,Ilha Grande
280,Manoel Davi Nunes ,Pauini
281,Wanessa  Vieira Barros,Governador Mangabeira
282,Ingrid  Souza Quaresma,Entre Rios
283,Priscila  Peixoto Junqueira,Guapimirim
284,Raquel Helena Reis Frota,Mata de São João
285,Henrique  Prado ,Igreja Nova
286,César  Castro ,Nova Trento
287,Cristian  Fontes Klein,Pacujá
288,Mirela  Esteves ,Pinhal
289,Pedro  Guedes ,Taiaçu
290,Érica Isabela Lopes Farias,Passa e Fica
291,Iolanda  Henriques Campos,Salvador
292,Patrick Pablo Cabral Tavares,Recife
293,Raquel  Pimentel Toledo,Campo Azul
294,Enzo  Sampaio ,Maracajá
295,Kaique  Espíndola Meireles,São Francisco do Conde
296,Sérgio  Quintana ,Peabiru
297,Paloma Zenaide Gusmão Beltrão,Água Boa
298,Valentina Paula Rossi Rodrigues,Mato Castelhano
299,Paula Brenda Vieira ,Limoeiro do Norte
300,Ingrid  Jardim ,Águas de Santa Bárbara
301,Neide Iris Meireles Gomes,Catarina
302,Olívia Olívia Quaresma Zanetti,Marzagão
303,Yago  Jardim ,Poço de José de Moura
304,Alan Leonardo Araújo Henriques,Mandaguaçu
305,Vitória Raquel Camargo ,Candeias do Jamari
306,Benício Fernando Valente Pacheco,Arara
307,Rogério  Pacheco ,Muzambinho
308,Marcos  Miranda Brandão,Curitiba
309,Jonas  Dantas ,São Pedro da União
310,Tainá Andressa Lacerda ,Ribeirão do Sul
311,Jefferson Heitor Rezende Beltrão,Catingueira
312,Bruna  Rossi ,Bom Jesus das Selvas
313,Lorena  Duarte ,Enéas Marques
314,Bianca Tereza Bezerra Moura,Cotriguaçu
315,Washington Pietro Espíndola ,Cachoeirinha
316,Kelly  Toledo Gonçalves,Guaratinga
317,Wanessa Brenda Chaves ,Guiricema
318,Rian  Viana Melo,São José do Povo
319,Úrsula Ágatha Santos Vasconcelos,Vianópolis
320,Érica  Rocha Camargo,Conquista D'Oeste
321,Wagner  Vieira ,Paulo Afonso
322,Pablo Allan Campos ,Angical
323,Gustavo Estevão Moreira ,Timbó Grande
324,Gustavo  Toledo Santos,Fortaleza
325,Kleber  Silva Guimarães,Tanquinho
326,Nicolas  Franco Martins,Maracaçumé
327,Úrsula  Farias Vieira,Santa Maria da Serra
328,Eric Renato Gusmão ,Cristal
329,Gabriel Elias Machado ,Mirassol
330,Raul Otávio Quintana Gomes,Porto Alegre
331,Larissa  Peixoto Melo,Nova Lima
332,Yuri  Bittencourt Moreira,Glorinha
333,Cauã  Santana Quaresma,Areial
334,Patrick Breno Tavares Moura,Recife
335,Ana  Castro Pereira,São Domingos
336,Alana Adriana Nunes Macedo,Cruzeiro do Oeste
337,Israel Valter Queiroz ,Guaraciaba
338,Benício Danilo Bittencourt ,Chapada da Natividade
339,Zuleica  Oliveira ,São José da Laje
340,Ayla  Quintana Ibiapina,São Brás do Suaçuí
341,Ximena  Sales Drummond,Vila Nova do Sul
342,Pedro  Reis ,Macambira
343,Renato  Mansur ,Curitiba
344,Catarina Rebeca Pereira Barros,Salvador
345,Breno Roberto Loureiro Guedes,Epitaciolândia
346,Antônio Ricardo Barros ,Mãe d'Água
347,Iris Nicole Fontes ,Abel Figueiredo
348,Igor Afonso Lins ,Ribamar Fiquene
349,Cauã Flávio Melo Ferreira,Fortaleza
350,Bruno  Batista Duarte,Santa Maria do Suaçuí
351,Ian  Zanetti Junqueira,Cruz Machado
352,Raquel Janaina Ribeiro ,Schroeder
353,Heitor  Haddad Melo,Lajeado Grande
354,Valéria  Ribeiro Peixoto,Ibirá
355,Nathan Dominic Barros Santana,Ivinhema
356,Zara  Brandão ,Brotas
357,Cristiano  Sales ,Berilo
358,Jamile  Santana ,Araponga
359,Juliano  Martins ,Ceres
360,Paloma  Souza Ibiapina,Itumbiara
361,Yuri  Silva ,São Geraldo do Baixio
362,Jonas Zaqueu Barros ,Água Doce
363,Alexandre Jamile Correia Camargo,Aroeiras do Itaim
364,Eduarda  Azevedo Caldas,Borborema
365,Wanessa  Ibiapina Pinto,Abreulândia
366,Eduardo  Gomes ,Pirangi
367,Daiane Aliani Moura Moura,Mogi Mirim
368,Lorenzo Hugo Drummond ,Congonhal
369,Matheus Zaqueu Cavalcante ,Porto Alegre
370,Nathan  Paiva Castro,Pedro Afonso
371,Raul Yuri Beltrão ,Bueno Brandão
372,Otávio Adriano Batista ,Canarana
373,Iolanda Waleska Vieira ,Manaus
374,Jonas  Castro Damasceno,Serrinha
375,Zaid  Moraes Castro,Itarumã
376,Lorena Alice Espíndola Melo,Monte Alegre do Piauí
377,Jonas Lucas Klein Brandão,Curitiba
378,Lázaro Bernardo Frota ,Orlândia
379,Cristian Hélio Espíndola Camargo,Lamarão
380,Elias Filipe Sampaio Garcia,Campestre de Goiás
381,Luan  Quintana Rezende,Anísio de Abreu
382,Neide Úrsula Peixoto ,Pinhais
383,Flávio  Vasconcelos Cunha,Barra Bonita
384,Yuri  Cerqueira ,Holambra
385,Aliani Lorena Lima Borges,Peritiba
386,Yasmina Quitéria Almeida ,Engenheiro Paulo de Frontin
387,Nicolas  Moreira Viana,Mariano Moro
388,Bernardo Wesley Klein Neves,Martinópole
389,Catarina  Moraes ,Aroeiras
390,Miguel Gael Lins Peixoto,Cravolândia
391,Lara Eduarda Domingues Ramalho,Pedrão
392,Fábio Murilo Quintana ,Curitiba
393,Sérgio Augusto Moura Dias,Laurentino
394,Darlan  Junqueira Dantas,Poranga
395,Raul Giovanni Drummond ,Damião
396,Jonathan  Valente ,Pacujá
397,Alessandro Gabriel Andrade ,Alegre
398,Wagner Kauã Cabral ,Alfredo Chaves
399,Augusto  Moraes ,Apiacás
400,Cristian Lázaro Martins ,Nova Belém
401,Antônio Darlan Dantas Rocha,Brasília
402,Xavier Tadeu Queiroz Teixeira,Salvador
403,Fernando  Duarte ,Natividade
404,Jorge Daniel Pimentel Andrade,Xangri-lá
405,Esther Rebeca Abreu ,Conceição da Feira
406,Igor  Lacerda Assis,Brasília
407,Maria Emanuelle Beltrão Prado,Indiara
408,Cristiano  Gonçalves Noronha,Cristiano Otoni
409,Breno Oscar Teixeira Barbosa,São José do Cerrito
410,Vinícius  Moraes ,Joanópolis
411,Roberto Enzo Santos Lopes,Rio de Janeiro
412,Ian Rodrigo Xavier ,Belo Horizonte
413,Israel Washington Dantas Miranda,Presidente Figueiredo
414,Cristian  Cunha Pimentel,Salvador
415,Moacir Xavier Bittencourt Martins,Lajeado Novo
416,Sérgio  Quintana Franco,Santa Fé de Goiás
417,Madalena Odete Freitas ,Chapadão do Lageado
418,Cristiano Manuela Sales ,Novo Machado
419,Geovana  Nunes ,Itarema
420,Jefferson  Moreira ,Manaus
421,Enzo Bernardo Araújo Fontes,Guajeru
422,Hugo  Frota Cerqueira,Dilermando de Aguiar
423,Marcelo Giovanni Moura Prado,Italva
424,Graziella  Camargo Noronha,Guarabira
425,Benício Patrick Borges Araújo,Piracuruca
426,Carla Vitória Teixeira Silva,Itapecuru Mirim
427,Brenda Beatriz Chaves Cavalcante,Sebastião Leal
428,Ian  Sampaio ,Januária
429,Olívia Úrsula Cavalcante ,Santa Maria da Boa Vista
430,Bianca  Sales Freitas,Guaraqueçaba
431,Kamilly Jéssica Freitas ,Palmas de Monte Alto
432,Nicolas Igor Rezende Fontes,São João Batista do Glória
433,Roberto Luiz Quintana ,São João do Pau d'Alho
434,Lorenzo  Rocha Lacerda,Porto Lucena
435,Tadeu Alessandro Castro Andrade,Córrego Fundo
436,Valentin  Barros ,Brasília
437,Jonas Valentin Caldas ,Itauçu
438,Yuri Joaquim Cordeiro Freitas,Cachoeira de Pajeú
439,Luiz  Mansur ,Goiabeira
440,Kleber Rodrigo Gomes Leite,Maragogipe
441,Marcos  Meireles ,Itanhomi
442,Camila  Drummond Espíndola,Icaraíma
443,Marcelo Jonathan Beltrão Guedes,Recife
444,Heloísa  Junqueira Bezerra,São Francisco de Goiás
445,Allan  Xavier ,Alfenas
446,Natália  Espíndola Queiroz,Melgaço
447,Valéria  Silva Xavier,Cruzeiro
448,Natália Paloma Ferreira Duarte,Cananéia
449,Ricardo  Meireles Batista,Pires do Rio
450,Sérgio Ricardo Santos ,Nossa Senhora do Livramento
451,Douglas Wallace Bragança ,Juscimeira
452,Ornella Rita Cerqueira ,Colares
453,Kleber Flávio Moreira ,América Dourada
454,Orlando  Beltrão ,Vicentina
455,Felipe  Lopes ,Iraí de Minas
456,Antônio Daniel Xavier ,Campina do Simão
457,Gisele Daniela Teixeira ,Capão do Leão
458,Adriano Maria Brandão Portela,São Brás do Suaçuí
459,Leandro  Ibiapina Castro,Comodoro
460,Rafael Hugo Cavalcante ,Centenário do Sul
461,Davi  Cunha Frota,Dom Pedrito
462,Cauã  Valente ,Santa Cruz da Conceição
463,Thiago  Santana Garcia,São Paulo
464,Kelly  Quintana Domingues,Quixabá
465,Alexandre Cadu Drummond ,Centenário do Sul
466,Jéssica  Franco ,Ponte Branca
467,Bárbara  Caldas ,Aracitaba
468,Luana Cíntia Brandão ,Nova Rosalândia
469,Zara Débora Nunes Dantas,Varginha
470,Arthur Kaique Farias ,São Caetano do Sul
471,Jefferson  Lacerda ,Forquetinha
472,Simone  Junqueira Franco,Cedro
473,Ulisses  Figueiredo Leite,Arapiraca
474,Theo Cadu Klein ,Aparecida
475,Arthur André Teixeira Domingues,Fortaleza
476,Moacir Sérgio Pacheco Zanetti,Realeza
477,Jonas  Monteiro Souza,Campo Limpo de Goiás
478,Igor Alessandro Rodrigues ,Nova Palmeira
479,Márcio Allan Bragança Dias,Altinho
480,Zion  Ortega Castro,Canudos
481,Lucas Fábio Cordeiro ,Medeiros
482,Pablo  Portela Toledo,Brejo de Areia
483,Fernando Wallace Meireles ,Aparecida do Taboado
484,Pietro Ubirajara Peixoto Frota,Fortaleza
485,Antônio Dominic Machado Cardoso,Limeira do Oeste
486,Talita Laís Costa Monteiro,Itaguaçu da Bahia
487,Uilma Zenaide Lopes ,Itagi
488,Yasmin  Henriques Pinto,Indiaporã
489,Joaquim  Santos ,Manaus
490,Ramon  Monteiro ,Entre Rios de Minas
491,Verônica Waleska Magalhães Teixeira,Porto Real
492,Paula Jamile Costa Marques,Hortolândia
493,Danilo Lorenzo Almeida Xavier,Conchal
494,Arthur  Figueiredo ,Fonte Boa
495,Camila  Viana Guimarães,Caém
496,Diego Diego Moraes ,Chã Grande
497,Matheus Darlan Quintana ,Crissiumal
498,João  Toledo ,Lagoa de Velhos
499,Clara  Sampaio ,Porto Alegre
500,Wesliane  Quaresma ,Pedro de Toledo
501,André Gabriel Assis ,Salto do Itararé
502,Débora  Moraes Andrade,Porto Alegre
503,Laís  Portela ,Icaraí de Minas
504,Valéria Isadora Rossi Duarte,Fortaleza
505,Augusto  Pimentel ,Cravinhos
506,Dante Quirino Zanetti ,Douradoquara
507,Cauã  Navarro Bittencourt,Riachão do Jacuípe
508,Marcos Quirino Cavalcante ,Mutuípe
509,Kleber  Chaves Viana,Eusébio
510,Iris  Guedes Leite,Uru
511,Cíntia  Vasconcelos Miranda,São Pedro da Aldeia
512,Catarina  Souza Dantas,Novo Mundo
513,Miguel  Moreira Pereira,Rio de Janeiro
514,Wallace  Klein ,Gonçalves Dias
515,Jorge Israel Moreira Haddad,Conceição do Canindé
516,Alana  Pimentel Domingues,Caatiba
517,Otávio  Abreu Moreira,São Roque do Canaã
518,Zion  Oliveira ,São José dos Ausentes
519,Neide  Ribeiro ,Alagoa
520,Lorenzo Cadu Cerqueira ,Iraí de Minas
521,Daniel Lorenzo Navarro Gomes,São José das Palmeiras
522,Quirino Vinícius Tavares Campos,Palhano
523,Ulisses  Damasceno ,Brasília
524,Paulo Breno Fontes Ferreira,Recife
525,Renato  Junqueira Ferreira,Alto Jequitibá
526,Manoel João Pimentel Guedes,Apiacás
527,Hélio Henrique Lins Prado,Poço das Antas
528,Janaina  Ramalho ,Braúnas
529,Sabrina Maria Brandão Rezende,Sales Oliveira
530,Zuleica  Santos Barbosa,Jandaia do Sul
531,Yago Silvio Lima ,Manaus
532,Yuri Gabriel  Marques ,Poloni
533,Yuri Gabriel Vinícius Gusmão ,Luzinópolis
534,Alana  Neves Cavalcante,Guarani das Missões
535,Joaquim  Cerqueira Cerqueira,Candeias
536,Eduarda Suelen Queiroz Gonçalves,Belém
537,Leonardo Henrique Gomes ,Santa Bárbara do Pará
538,Betina  Rossi Lacerda,Tapira
539,Davi Dominic Rossi Damasceno,Rio Quente
540,Xavier Washington Correia Rossi,São Miguel da Boa Vista
541,Augusto Elias Chaves Gomes,Dois Vizinhos
542,Mônica Rebeca Rodrigues ,Paraguaçu Paulista
543,Uilma Flávia Guimarães ,Douradoquara
544,Luiz  Souza Barros,Ipameri
545,Allan Hélio Dantas ,Fronteiras
546,Heitor Daniel Cardoso Moura,São Francisco
547,Xavier  Abreu Beltrão,Pilar do Sul
548,Ayla  Noronha Pacheco,Rodrigues Alves
549,Ayla Eduarda Domingues ,Salto Veloso
550,Nádia  Gomes Gomes,Belo Horizonte
551,Otávio João Esteves Silva,Tanque d'Arca
552,Fernando  Portela ,Pirapó
553,Paulo  Silva ,Conceição do Jacuípe
554,Valter Gabriel Duarte ,Garça
555,Raquel  Quaresma ,Fortaleza
556,Waleska  Azevedo Henriques,São Francisco
557,Priscila  Rangel ,Serra de São Bento
558,Adriano Edson Figueiredo Bezerra,Echaporã
559,Juliana Natália Espíndola ,Mangaratiba
560,Eduardo Ueliton Junqueira ,Sátiro Dias
561,Ubirajara Cadu Paiva Pinto,Abadia de Goiás
562,Leandro Ian Santos ,Itaquiraí
563,Valentin  Nascimento Quaresma,Catunda
564,Arthur Daniel Barbosa Beltrão,Paço do Lumiar
565,Theo Murilo Klein ,Bocaiúva
566,Roberto Jorge Assis ,Pedranópolis
567,Ana Michele Marques Bittencourt,Caratinga
568,Carlos  Miranda ,Frei Gaspar
569,Alessandro Emerson Guimarães ,São Paulo
570,Patrícia  Lins Correia,São João Nepomuceno
571,Bernardo Felipe Dantas Drummond,Nova Brasilândia
572,Aliani  Damasceno Pereira,Nazarezinho
573,Filipe Carlos Sampaio ,Agudos
574,Yuri  Campos Siqueira,Nova Bréscia
575,Lorenzo Xavier Magalhães ,São José das Palmeiras
576,Uilma  Caldas ,Sapé
577,Breno  Valente ,São Paulo
578,Zaid Sebastião Aguiar Nascimento,Arcoverde
579,Cecília Wanessa Pacheco ,Jussiape
580,Rogério Kaique Fontes ,Serra da Raiz
581,Zara  Dias Rossi,Belmonte
582,Verônica Helena Freitas Duarte,Salesópolis
583,Cristiano  Ortega Loureiro,Pedra Bonita
584,Cristiane Ana Viana ,Brasília
